Function	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_rest	category	Significance	pvalue
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate!!!Glyoxylate cycle!!!Methylaspartate cycle!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Anoxygenic photosynthesis in green sulfur bacteria	0	1	1	NA	M00009!!!M00010!!!M00012!!!M00740!!!M00173!!!M00614	GC_00000746	1	KEGG_Module	No	0
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate!!!Methylaspartate cycle!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Anoxygenic photosynthesis in green sulfur bacteria	0	1	1	NA	M00009!!!M00010!!!M00740!!!M00173!!!M00614	GC_00000769, GC_00003796	1	KEGG_Module	No	0
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate!!!Glyoxylate cycle!!!Methylaspartate cycle!!!CAM (Crassulacean acid metabolism), dark!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Dicarboxylate-hydroxybutyrate cycle!!!Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate!!!Formaldehyde assimilation, serine pathway!!!Anoxygenic photosynthesis in green sulfur bacteria	0	1	1	NA	M00009!!!M00011!!!M00012!!!M00740!!!M00168!!!M00173!!!M00374!!!M00620!!!M00346!!!M00614	GC_00000657	1	KEGG_Module	No	0
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!3-Hydroxypropionate bi-cycle!!!Dicarboxylate-hydroxybutyrate cycle!!!Succinate dehydrogenase, prokaryotes!!!Anoxygenic photosynthesis in green nonsulfur bacteria!!!Anoxygenic photosynthesis in green sulfur bacteria	0	1	1	NA	M00009!!!M00011!!!M00173!!!M00376!!!M00374!!!M00149!!!M00613!!!M00614	GC_00000238, GC_00000833, GC_00003791	1	KEGG_Module	No	0
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate!!!Anoxygenic photosynthesis in green sulfur bacteria	0	1	1	NA	M00009!!!M00011!!!M00173!!!M00620!!!M00614	GC_00000075, GC_00000103, GC_00000161, GC_00000668	1	KEGG_Module	No	0
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate!!!Succinate dehydrogenase, prokaryotes	0	1	1	NA	M00009!!!M00011!!!M00149	GC_00000528	1	KEGG_Module	No	0
Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	0	1	1	NA	M00925	GC_00000275	1	KEGG_Module	No	0
Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	0	1	1	NA	M00924	GC_00000154, GC_00001451, GC_00001835, GC_00003147	1	KEGG_Module	No	0
Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide!!!Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	0	1	1	NA	M00924!!!M00925	GC_00000068, GC_00000405, GC_00000570, GC_00000834, GC_00001148, GC_00001248, GC_00001383, GC_00001805, GC_00001946, GC_00003644, GC_00003935	1	KEGG_Module	No	0
Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	0	1	1	NA	M00122	GC_00000132, GC_00000201, GC_00000684, GC_00000799, GC_00004440	1	KEGG_Module	No	0
Coenzyme A biosynthesis, pantothenate => CoA!!!Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	0	1	1	NA	M00120!!!M00914	GC_00000312, GC_00000725, GC_00003029	1	KEGG_Module	No	0
Cysteine biosynthesis, methionine => cysteine!!!Methionine salvage pathway!!!Methionine degradation!!!Ethylene biosynthesis, methionine => ethylene	0	1	1	NA	M00609!!!M00034!!!M00035!!!M00368	GC_00000495	1	KEGG_Module	No	0
Cytochrome bd ubiquinol oxidase	0	1	1	NA	M00153	GC_00000020, GC_00000699, GC_00001088	1	KEGG_Module	No	0
Ethylmalonyl pathway!!!Hydroxypropionate-hydroxybutylate cycle!!!Dicarboxylate-hydroxybutyrate cycle!!!Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone!!!C5 isoprenoid biosynthesis, mevalonate pathway!!!C5 isoprenoid biosynthesis, mevalonate pathway, archaea	0	1	1	NA	M00373!!!M00375!!!M00374!!!M00088!!!M00095!!!M00849	GC_00000090, GC_00000774, GC_00001000, GC_00001317	1	KEGG_Module	No	0
Fatty acid biosynthesis, elongation!!!Fatty acid biosynthesis in mitochondria, fungi!!!Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	0	1	1	NA	M00083!!!M00874!!!M00572	GC_00000037, GC_00000258, GC_00000892, GC_00001212, GC_00002434, GC_00002522, GC_00002784	1	KEGG_Module	No	0
Formaldehyde assimilation, serine pathway	0	1	1	NA	M00346	GC_00000732	1	KEGG_Module	No	0
GABA (gamma-Aminobutyrate) shunt	0	1	1	NA	M00027	GC_00000047, GC_00000136	1	KEGG_Module	No	0
GABA biosynthesis, eukaryotes, putrescine => GABA	0	1	1	NA	M00135	GC_00000729	1	KEGG_Module	No	0
Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	0	1	1	NA	M00632	GC_00000237, GC_00000661, GC_00001720, GC_00002400, GC_00002831, GC_00003877	1	KEGG_Module	No	0
Gluconeogenesis, oxaloacetate => fructose-6P	0	1	1	NA	M00003	GC_00000387, GC_00001544	1	KEGG_Module	No	0
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Glycolysis, core module involving three-carbon compounds!!!Adenine ribonucleotide biosynthesis, IMP => ADP,ATP!!!Guanine ribonucleotide biosynthesis IMP => GDP,GTP	0	1	1	NA	M00001!!!M00002!!!M00049!!!M00050	GC_00000222	1	KEGG_Module	No	0
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Glycolysis, core module involving three-carbon compounds!!!Gluconeogenesis, oxaloacetate => fructose-6P	0	1	1	NA	M00001!!!M00002!!!M00003	GC_00000346, GC_00001147	1	KEGG_Module	No	0
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Glycolysis, core module involving three-carbon compounds!!!Gluconeogenesis, oxaloacetate => fructose-6P!!!Formaldehyde assimilation, serine pathway	0	1	1	NA	M00001!!!M00002!!!M00003!!!M00346	GC_00000630	1	KEGG_Module	No	0
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Glycolysis, core module involving three-carbon compounds!!!Gluconeogenesis, oxaloacetate => fructose-6P!!!Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P!!!D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P!!!Reductive pentose phosphate cycle (Calvin cycle)!!!Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P!!!Oxygenic photosynthesis in plants and cyanobacteria!!!Anoxygenic photosynthesis in purple bacteria	0	1	1	NA	M00001!!!M00002!!!M00003!!!M00308!!!M00552!!!M00165!!!M00166!!!M00611!!!M00612	GC_00000654	1	KEGG_Module	No	0
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Pentose phosphate pathway (Pentose phosphate cycle)!!!UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	0	1	1	NA	M00001!!!M00004!!!M00909	GC_00000560	1	KEGG_Module	No	0
Guanine ribonucleotide biosynthesis IMP => GDP,GTP	0	1	1	NA	M00050	GC_00000525, GC_00000540, GC_00001204	1	KEGG_Module	No	0
Histidine biosynthesis, PRPP => histidine	0	1	1	NA	M00026	GC_00000164, GC_00000738, GC_00000932, GC_00000946, GC_00000970, GC_00000977, GC_00001024	1	KEGG_Module	No	0
Histidine degradation, histidine => N-formiminoglutamate => glutamate	0	1	1	NA	M00045	GC_00000417, GC_00001267, GC_00001392	1	KEGG_Module	No	0
Hydroxypropionate-hydroxybutylate cycle!!!Anoxygenic photosynthesis in green nonsulfur bacteria	0	1	1	NA	M00375!!!M00613	GC_00000251	1	KEGG_Module	No	0
