KEGG_Module	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ferroplasma_c	p_rest	p_MAG00006	N_Ferroplasma_c	N_rest	N_MAG00006
Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	0.42970134399515303	0.8066618883923823	1	Ferroplasma_c, MAG00006	M00046	GC_00001224, GC_00001300, GC_00001343, GC_00001457	1	0.8182	1	1	11	1
Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	0.42970134399515225	0.8066618883923825	1	rest	M00039	GC_00002615	0	0.1818	0	1	11	1
Acylglycerol degradation	0.19694835918983758	0.9062190912562168	1	rest	M00098	GC_00003880	0	0.0909	0	1	11	1
Ascorbate biosynthesis, animals, glucose-1P => ascorbate!!!Glycogen biosynthesis, glucose-1P => glycogen/starch!!!Nucleotide sugar biosynthesis, glucose => UDP-glucose	0.19694835918983758	0.9062190912562168	1	rest	M00129!!!M00854!!!M00549	GC_00003396	0	0.0909	0	1	11	1
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Fumarate reductase, prokaryotes!!!Anoxygenic photosynthesis in green nonsulfur bacteria!!!Anoxygenic photosynthesis in green sulfur bacteria	0.19694835918983758	0.9062190912562168	1	rest	M00009!!!M00011!!!M00173!!!M00150!!!M00613!!!M00614	GC_00003016	0	0.0909	0	1	11	1
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Succinate dehydrogenase, prokaryotes!!!Anoxygenic photosynthesis in green nonsulfur bacteria!!!Anoxygenic photosynthesis in green sulfur bacteria	0.19694835918983758	0.9062190912562168	1	rest	M00009!!!M00011!!!M00173!!!M00149!!!M00613!!!M00614	GC_00003650	0	0.0909	0	1	11	1
Glucuronate pathway (uronate pathway)!!!Ascorbate biosynthesis, animals, glucose-1P => ascorbate	0.19694835918983758	0.9062190912562168	1	rest	M00014!!!M00129	GC_00003380	0	0.0909	0	1	11	1
Methanogenesis, CO2 => methane!!!Methanogenesis, acetate => methane!!!Methanogen	0.19694835918983758	0.9062190912562168	1	rest	M00567!!!M00357!!!M00617	GC_00004477	0	0.0909	0	1	11	1
Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P!!!Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P!!!Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	0.19694835918983758	0.9062190912562168	1	rest	M00308!!!M00633!!!M00309	GC_00003187	0	0.0909	0	1	11	1
Arginine biosynthesis, ornithine => arginine!!!Arginine biosynthesis, glutamate => acetylcitrulline => arginine!!!Urea cycle	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00844!!!M00845!!!M00029	GC_00000758, GC_00001073	1	0.9091	1	1	11	1
