"","KEGG_Module_ACC","p_value","SD_unique_KOs","avg_unique_KOs","avg_unique_KOs_ferroplasma","avg_unique_KOs_other","is_ferroplasma","ratio","NAME","CLASS","PATHWAY-ID","PATHWAY","NR-ORTHOLOGY","class"
"160","M00527",0.456836125591962,1.95945749742385,5.05,1.5,5.44444444444444,"FALSE",0.275510204081633,"Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine","Pathway modules; Amino acid metabolism; Lysine metabolism","map00300,map01230,map01100,map01110","Lysine biosynthesis,Biosynthesis of amino acids,Metabolic pathways,Biosynthesis of secondary metabolites","7"," Amino acid metabolism"
"161","M00529",0.423190081126844,1.88982236504614,3.28571428571429,3,3.33333333333333,"FALSE",0.9,"Denitrification, nitrate => nitrogen","Pathway modules; Energy metabolism; Nitrogen metabolism","map00910,map01310,map01100,map01120","Nitrogen metabolism,Nitrogen cycle,Metabolic pathways,Microbial metabolism in diverse environments","5"," Energy metabolism"
"162","M00530",0.440493285065213,2.34326889001435,2.90909090909091,3,2.9,"TRUE",1.03448275862069,"Dissimilatory nitrate reduction, nitrate => ammonia","Pathway modules; Energy metabolism; Nitrogen metabolism","map00910,map01310,map01100,map01120","Nitrogen metabolism,Nitrogen cycle,Metabolic pathways,Microbial metabolism in diverse environments","4"," Energy metabolism"
"163","M00531",NA,0,1,0,1,"NA",0,"Assimilatory nitrate reduction, nitrate => ammonia","Pathway modules; Energy metabolism; Nitrogen metabolism","map00910,map01310,map01100,map01120","Nitrogen metabolism,Nitrogen cycle,Metabolic pathways,Microbial metabolism in diverse environments","5"," Energy metabolism"
"164","M00532",0.457929714471852,1.82574185835055,5.33333333333333,4.5,5.42105263157895,"FALSE",0.830097087378641,"Photorespiration","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","map00630,map01200,map01100,map01110","Glyoxylate and dicarboxylate metabolism,Carbon metabolism,Metabolic pathways,Biosynthesis of secondary metabolites","10"," Carbohydrate metabolism"
"165","M00533",0.423190081126843,0.534522483824849,1.57142857142857,1,1.66666666666667,"FALSE",0.6,"Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate","Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism","map00350,map01220,map01100,map01120","Tyrosine metabolism,Degradation of aromatic compounds,Metabolic pathways,Microbial metabolism in diverse environments","4"," Amino acid metabolism"
"166","M00535",0.455652604322419,0.611775290321498,2.47368421052632,2,2.52941176470588,"FALSE",0.790697674418605,"Isoleucine biosynthesis, pyruvate => 2-oxobutanoate","Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism","map00290,map00660,map01210,map01230,map01100","Valine, leucine and isoleucine biosynthesis,C5-Branched dibasic acid metabolism,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Metabolic pathways","3"," Amino acid metabolism"
"167","M00537",NA,NA,1,0,1,"NA",0,"Xylene degradation, xylene => methylbenzoate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","map00622,map01220,map01100,map01120","Xylene degradation,Degradation of aromatic compounds,Metabolic pathways,Microbial metabolism in diverse environments","4"," Xenobiotics biodegradation"
"168","M00538",0.39162517627109,2.06155281280883,2.75,0,2.75,"NA",0,"Toluene degradation, toluene => benzoate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","map00623,map01220,map01100,map01120","Toluene degradation,Degradation of aromatic compounds,Metabolic pathways,Microbial metabolism in diverse environments","3"," Xenobiotics biodegradation"
"169","M00539",NA,NA,1,0,1,"NA",0,"Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","map00622,map01220,map01100,map01120","Xylene degradation,Degradation of aromatic compounds,Metabolic pathways,Microbial metabolism in diverse environments","5"," Xenobiotics biodegradation"
"170","M00540",0.367879441171442,0.577350269189626,1.33333333333333,0,1.33333333333333,"NA",0,"Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","map00362,map01220,map01100,map01120","Benzoate degradation,Degradation of aromatic compounds,Metabolic pathways,Microbial metabolism in diverse environments","5"," Xenobiotics biodegradation"
"171","M00545",0.447811674319492,2.63638947246977,2.78571428571429,1,2.92307692307692,"FALSE",0.342105263157895,"Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","map00360,map01220,map01100,map01120","Phenylalanine metabolism,Degradation of aromatic compounds,Metabolic pathways,Microbial metabolism in diverse environments","8"," Xenobiotics biodegradation"
"172","M00546",0.437274188913867,2.76686746259295,2.9,0,2.9,"NA",0,"Purine degradation, xanthine => urea","Pathway modules; Nucleotide metabolism; Purine metabolism","map00230,map01100","Purine metabolism,Metabolic pathways","8"," Nucleotide metabolism"
"173","M00548",NA,NA,4,0,4,"NA",0,"Benzene degradation, benzene => catechol","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","map00361,map00362,map01220,map01100,map01120","Chlorocyclohexane and chlorobenzene degradation,Benzoate degradation,Degradation of aromatic compounds,Metabolic pathways,Microbial metabolism in diverse environments","6"," Xenobiotics biodegradation"
"174","M00549",0.456836125591962,1.03998987849326,2.85,1,3.05555555555556,"FALSE",0.327272727272727,"Nucleotide sugar biosynthesis, glucose => UDP-glucose","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","map00520,map01250,map01100","Amino sugar and nucleotide sugar metabolism,Biosynthesis of nucleotide sugars,Metabolic pathways","6"," Carbohydrate metabolism"
"175","M00550",0.391625176271089,2.75378527364305,3.75,0,3.75,"NA",0,"Ascorbate degradation, ascorbate => D-xylulose-5P","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","map00053,map01100,map01120","Ascorbate and aldarate metabolism,Metabolic pathways,Microbial metabolism in diverse environments","5"," Carbohydrate metabolism"
"176","M00552",0.457929714471852,0.995226703056239,2.23809523809524,1.5,2.31578947368421,"FALSE",0.647727272727273,"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","map00052,map01100","Galactose metabolism,Metabolic pathways","5"," Carbohydrate metabolism"
