bins	Sample_ERR10036468	Sample_ERR10036469	Sample_ERR10036470
SC_Bin_00021	0.013513389958829522	0.01924851527201681	0.0
SC_Bin_00022	0.24324758492824317	0.14259816144564444	0.00911521799545881
SC_Bin_00023	0.05214165506815857	8.532109314835557e-05	0.0001982304655614198
SC_Bin_00024	0.02081475695678473	0.01238379567238824	2.223114478937361e-05
SC_Bin_00025	0.021694434991778862	0.01757323192626721	0.0
SC_Bin_00026	0.06300646583039499	0.07692081128110102	0.0
SC_Bin_00027	0.054015469710823605	6.404251886771405e-05	0.0
SC_Bin_00028	0.05604516720580131	0.0001919914584997992	0.0013215112402477564
SC_Bin_00029	0.08990404933869388	0.22466926302785126	0.00766946002615276
SC_Bin_00030	0.7340704426641816	0.5240221052638881	1.7928118551389278
SC_Bin_00031	0.056825054449371866	0.07414987934344396	0.0
SC_Bin_00032	0.02029019521947868	0.010440750327137201	0.0
SC_Bin_00033	0.009584174111017725	0.011744387225899697	0.0
SC_MAG_00001	0.23362307549844144	8.366342664055046e-05	2.3307140564582647e-05
SC_MAG_00002	0.4426958298281923	0.6437569103190814	0.0027632409487136534
SC_MAG_00003	0.0962658501446747	0.00011454272648171909	0.00012288351911673287
SC_MAG_00004	0.35111506765770883	6.8453064449557735	0.013112311883769323
SC_MAG_00005	1.1731504364766854	0.0025166518581930253	0.004814488363202769
SC_MAG_00006	3.2396566111385745	2.2977987151724704	0.008715265746914376
SC_MAG_00007	0.019336390505686616	0.18745892252298063	0.0
SC_MAG_00008	35.63997450268119	28.32244489203508	0.012001419549381666
SC_MAG_00009	0.001680896736596329	0.02206893258380424	0.0
SC_MAG_00010	0.06929202235225844	0.22127962552244226	0.00027556652050175247
SC_MAG_00011	0.5517654540919806	0.7645795583731999	0.007209894867638097
SC_MAG_00012	0.007358723604040198	0.02978973940292968	0.0
SC_MAG_00013	0.042101040414081525	0.9131735574895529	2.808981813471918e-05
SC_MAG_00014	0.013685239640289034	0.07509644811036333	0.0026314959753988044
SC_MAG_00015	0.11529404761603318	0.00017397802363750984	0.0003222874155907219
SC_MAG_00016	6.663623974836048	5.702846076913502	26.223320704094064
SC_MAG_00017	0.08329799848339574	0.00010832643364344276	2.8959253076134032e-05
SC_MAG_00018	1.3002126744472313	1.0904287058419417	0.08282068562824729
SC_MAG_00019	1.9437723112182541	0.9283683888413692	0.8207644648573562
SC_MAG_00020	0.019305718910673116	0.02663150430385595	0.0
