bins	Sample_ERR10036468	Sample_ERR10036469	Sample_ERR10036470
SC_Bin_00021	0.6723967173257002	0.9732010735106206	0.0
SC_Bin_00022	0.9898439981831254	0.9945209874100619	0.03776702762652637
SC_Bin_00023	0.9942548242009948	0.0211576097528056	0.0014975764865605163
SC_Bin_00024	0.823811260073671	0.9369615911658881	0.00020033817083236504
SC_Bin_00025	0.843398551536439	0.985492958674636	0.0
SC_Bin_00026	0.9936589296801722	0.999414331699627	0.0
SC_Bin_00027	0.995657910131028	0.014737793252947154	0.0
SC_Bin_00028	0.9966915688022114	0.043861120890282865	0.009629817131104588
SC_Bin_00029	0.9779188913479974	0.4061818780456901	0.0536684235984392
SC_Bin_00030	0.9954888778766443	0.9895831962893609	0.254260788466964
SC_Bin_00031	0.9859675368173118	0.9993518359103161	0.0
SC_Bin_00032	0.8254393827208605	0.9396438174661939	0.0
SC_Bin_00033	0.6108166770274684	0.970245182227186	0.0
SC_MAG_00001	0.9998603269818866	0.02026869028015817	0.00021003461370433846
SC_MAG_00002	0.9980698072765817	0.26977095794485484	0.0062241574025237376
SC_MAG_00003	0.9994324692639426	0.015103700092765899	0.0009977928591252598
SC_MAG_00004	0.97917093267554	0.9890977373232936	0.0027823737873374776
SC_MAG_00005	0.9967840088243919	0.37165269977060394	0.03302266119917585
SC_MAG_00006	0.9988800087870693	0.9986009112983165	0.00378987380291936
SC_MAG_00007	0.7833734995893198	0.9992549140727682	0.0
SC_MAG_00008	0.9987421209111591	0.999381467176934	0.08005170272640089
SC_MAG_00009	0.11387112118682097	0.9966462973811903	0.0
SC_MAG_00010	0.9942131882179768	0.999983404467819	0.0016087608317278414
SC_MAG_00011	0.9983475513731994	0.9722382218954608	0.024613256135948898
SC_MAG_00012	0.4488286760893612	0.9931639053463818	0.0
SC_MAG_00013	0.5131921585216288	0.999647862218499	0.00021024200612781616
SC_MAG_00014	0.5947552497061863	0.998670654702559	0.0182705017778744
SC_MAG_00015	0.9976733129098325	0.0378745503674509	0.0020308762026057174
SC_MAG_00016	0.9986613338695097	0.9941392621723836	0.9206416992476206
SC_MAG_00017	0.9995707056867795	0.026355278232299113	0.00017571925282781862
SC_MAG_00018	0.9997076746949619	0.9981046443012881	0.3886902285394703
SC_MAG_00019	0.9989842424777287	0.9950732975511932	0.09609747330851846
SC_MAG_00020	0.788998653121104	0.9922421778380841	0.0
