bins	Sample_ERR10036468	Sample_ERR10036469	Sample_ERR10036470
SC_Bin_00021	0.10357073039373708	0.4039258485355746	0.0
SC_Bin_00022	6.498566285271612	6.993539227215222	0.06496302158513953
SC_Bin_00023	14.226480407451957	0.0	0.0
SC_Bin_00024	0.25509727085987816	0.5288927709974437	0.0
SC_Bin_00025	0.4692020270581955	0.7024850573652197	0.0
SC_Bin_00026	1.5368288483471384	2.4395506647115033	0.0
SC_Bin_00027	6.8041526891009205	0.0	0.0
SC_Bin_00028	4.264365441667806	0.0	0.0
SC_Bin_00029	13.509476610672367	4.414372004021305	0.0
SC_Bin_00030	8.670680775983172	9.245900009794076	1.7556246500810568
SC_Bin_00031	1.7665365033572875	3.4997967253245523	0.0
SC_Bin_00032	0.3702116051595807	0.1324967850044815	0.0
SC_Bin_00033	0.02107281711955663	0.02107281711955663	0.0
SC_MAG_00001	10.188429053107953	0.0	0.0
SC_MAG_00002	5.210092092228934	2.9473185929996846	0.005611025358774063
SC_MAG_00003	1.0651582960881676	0.01245799176711307	0.0
SC_MAG_00004	11.177303248790757	14.493918147349747	0.015552032348227282
SC_MAG_00005	9.847340985044617	0.062103845392476896	0.0
SC_MAG_00006	7.635567103589284	6.991392093258175	0.022057704756271366
SC_MAG_00007	0.4396119691685472	14.770962164063187	0.0
SC_MAG_00008	6.132494106860484	6.130359394787781	0.0
SC_MAG_00009	0.0068852236215857145	0.602906103211897	0.0
SC_MAG_00010	1.6479866350647503	5.158193138803522	0.0
SC_MAG_00011	11.007893924125572	8.577843367532857	0.004274495262256314
SC_MAG_00012	0.06984712096013637	1.5338673920100432	0.0
SC_MAG_00013	1.3088443819609266	7.253560156566308	0.0
SC_MAG_00014	0.16675120836321444	3.0959752321981426	0.0
SC_MAG_00015	20.942873001394076	0.0	0.0
SC_MAG_00016	4.354658558134106	4.260089304046968	6.653074821319488
SC_MAG_00017	0.8303169644760043	0.0	0.0
SC_MAG_00018	5.715526235402996	4.997176454805602	0.006345045380670998
SC_MAG_00019	9.133892135633404	8.573104874286619	0.4412611758496473
SC_MAG_00020	0.5347459706290275	2.256147325519099	0.0
