file	percent	reads	taxon_id	taxon_name
ERR10036469.out	0.000669	1112	200295	Candidatus Sumerlaeota
ERR10036469.out	0.000641	1065	1819803	Candidatus Desantisbacteria
ERR10036469.out	0.000628	1044	1817801	Candidatus Eisenbacteria
ERR10036469.out	0.000623	1036	1752724	Candidatus Pacebacteria
ERR10036469.out	0.000552	918	29178	Foraminifera
ERR10036469.out	0.000552	918	1052815	Candidatus Aerophobetes
ERR10036469.out	0.000545	906	1935019	Candidatus Hydrothermarchaeota
ERR10036469.out	0.000544	904	451459	Blastocladiomycota
ERR10036469.out	0.000538	894	1855361	Candidatus Kryptonia
ERR10036469.out	0.000532	884	1703755	candidate division WOR-3
ERR10036469.out	0.000507	843	1802339	Candidatus Tectomicrobia
ERR10036469.out	0.000495	823	1915410	Candidatus Verstraetearchaeota
ERR10036469.out	0.000494	821	1752732	Candidatus Uhrbacteria
ERR10036469.out	0.000473	786	2604748	Endomyxa
ERR10036469.out	0.000462	768	1752733	Candidatus Yanofskybacteria
ERR10036469.out	0.000397	660	207245	Fornicata
ERR10036469.out	0.000367	610	2138240	Coprothermobacterota
ERR10036469.out	0.000362	602	1752729	Candidatus Nomurabacteria
ERR10036469.out	0.000351	583	2497438	Perkinsozoa
ERR10036469.out	0.000341	567	67818	Atribacterota
ERR10036469.out	0.000329	546	1031332	Cryptomycota
ERR10036469.out	0.000321	533	2013583	Candidatus Goldbacteria
ERR10036469.out	0.000317	526	1817913	Candidatus Portnoybacteria
ERR10036469.out	0.000311	516	1752734	Candidatus Kaiserbacteria
ERR10036469.out	0.000301	500	1817811	Candidatus Schekmanbacteria
ERR10036469.out	0.000292	486	1817808	Candidatus Margulisbacteria
ERR10036469.out	0.000291	484	1817924	Candidatus Yonathbacteria
ERR10036469.out	0.000289	481	1817903	Candidatus Buchananbacteria
ERR10036469.out	0.000289	481	1817916	Candidatus Staskawiczbacteria
ERR10036469.out	0.000271	450	1936271	Candidatus Odinarchaeota
ERR10036469.out	0.000261	434	1817902	Candidatus Brennerbacteria
ERR10036469.out	0.000259	431	1853220	Rhodothermaeota
ERR10036469.out	0.000245	407	555369	Tubulinea
ERR10036469.out	0.000242	402	136419	Cercozoa
ERR10036469.out	0.000220	366	1817907	Candidatus Kerfeldbacteria
ERR10036469.out	0.000203	337	363464	Candidatus Gracilibacteria
ERR10036469.out	0.000203	337	1817799	Candidatus Doudnabacteria
ERR10036469.out	0.000200	333	134625	Kiritimatiellaeota
ERR10036469.out	0.000193	320	1817802	Candidatus Firestonebacteria
ERR10036469.out	0.000192	319	1752719	Candidatus Levybacteria
ERR10036469.out	0.000191	317	1817899	Candidatus Woykebacteria
ERR10036469.out	0.000176	292	1817800	Candidatus Edwardsbacteria
ERR10036469.out	0.000167	277	1817904	Candidatus Colwellbacteria
ERR10036469.out	0.000155	258	2662611	Preaxostyla
