file	percent	reads	taxon_id	taxon_name
ERR10036468.out	34.941753	38107340	74968	Ferroplasma
ERR10036468.out	24.013371	26188888	1763	Mycobacterium
ERR10036468.out	1.494979	1630418	507753	Acidiplasma
ERR10036468.out	1.013562	1105387	119977	Acidithiobacillus
ERR10036468.out	0.622087	678446	2302	Thermoplasma
ERR10036468.out	0.510762	557035	265	Paracoccus
ERR10036468.out	0.509148	555275	1866885	Mycolicibacterium
ERR10036468.out	0.505066	550823	1747777	Cuniculiplasma
ERR10036468.out	0.492947	537606	1716	Corynebacterium
ERR10036468.out	0.439185	478973	46631	Picrophilus
ERR10036468.out	0.330642	360597	1301	Streptococcus
ERR10036468.out	0.321823	350979	469	Acinetobacter
ERR10036468.out	0.315897	344516	1847725	Lawsonella
ERR10036468.out	0.257612	280951	55193	Malassezia
ERR10036468.out	0.255449	278592	1912216	Cutibacterium
ERR10036468.out	0.237931	259487	561	Escherichia
ERR10036468.out	0.213072	232375	286	Pseudomonas
ERR10036468.out	0.183125	199715	1279	Staphylococcus
ERR10036468.out	0.132496	144500	1883	Streptomyces
ERR10036468.out	0.121668	132691	1386	Bacillus
ERR10036468.out	0.118028	128721	5820	Plasmodium
ERR10036468.out	0.109941	119901	1827	Rhodococcus
ERR10036468.out	0.104942	114449	57493	Kocuria
ERR10036468.out	0.094541	103106	53457	Janibacter
ERR10036468.out	0.085077	92785	1073531	Mycolicibacter
ERR10036468.out	0.081594	88986	1350	Enterococcus
ERR10036468.out	0.080361	87641	2490204	Candidatus Mancarchaeum
ERR10036468.out	0.067922	74075	482135	Thermogymnomonas
ERR10036468.out	0.066317	72325	670516	Mycobacteroides
ERR10036468.out	0.062837	68530	590	Salmonella
ERR10036468.out	0.059567	64964	1817	Nocardia
ERR10036468.out	0.057958	63209	112497	Ramularia
ERR10036468.out	0.055935	61003	570	Klebsiella
ERR10036468.out	0.055215	60217	1269	Micrococcus
ERR10036468.out	0.053635	58494	1870884	Clostridioides
ERR10036468.out	0.050670	55260	44249	Paenibacillus
ERR10036468.out	0.049906	54427	13687	Sphingomonas
ERR10036468.out	0.046917	51167	57495	Dermacoccus
ERR10036468.out	0.045027	49106	1654	Actinomyces
ERR10036468.out	0.041734	45515	33882	Microbacterium
ERR10036468.out	0.039749	43350	2053	Gordonia
ERR10036468.out	0.035767	39007	32008	Burkholderia
ERR10036468.out	0.035030	38204	12914	Acidianus
ERR10036468.out	0.034824	37979	165779	Anaerococcus
ERR10036468.out	0.034378	37493	338	Xanthomonas
ERR10036468.out	0.032412	35348	810	Chlamydia
ERR10036468.out	0.031891	34780	2207	Methanosarcina
ERR10036468.out	0.031678	34548	1578	Lactobacillus
ERR10036468.out	0.030656	33433	43668	Brachybacterium
ERR10036468.out	0.029505	32178	1988	Actinomadura
ERR10036468.out	0.028466	31045	28033	Sulfobacillus
ERR10036468.out	0.028013	30551	1696	Brevibacterium
ERR10036468.out	0.027747	30261	1357	Lactococcus
ERR10036468.out	0.027620	30122	194	Campylobacter
ERR10036468.out	0.025673	27999	620	Shigella
ERR10036468.out	0.025560	27876	32207	Rothia
ERR10036468.out	0.025432	27736	1485	Clostridium
ERR10036468.out	0.025378	27677	2013	Nocardiopsis
ERR10036468.out	0.025040	27308	1839	Nocardioides
ERR10036468.out	0.024984	27247	662	Vibrio
ERR10036468.out	0.024350	26556	1016	Capnocytophaga
ERR10036468.out	0.024059	26239	4842	Rhizopus
ERR10036468.out	0.023589	25726	2284	Sulfolobus
ERR10036468.out	0.022993	25076	547	Enterobacter
ERR10036468.out	0.021487	23434	5052	Aspergillus
ERR10036468.out	0.021210	23131	482	Neisseria
ERR10036468.out	0.020533	22393	838	Prevotella
ERR10036468.out	0.019287	21034	57499	Kytococcus
ERR10036468.out	0.019127	20860	121038	Ferrimicrobium
ERR10036468.out	0.018796	20499	848	Fusobacterium
ERR10036468.out	0.018559	20240	162289	Peptoniphilus
ERR10036468.out	0.018522	20200	1663	Arthrobacter
ERR10036468.out	0.018160	19805	65047	Mitsuaria
