contig	Sample_ERR10036468	Sample_ERR10036469	Sample_ERR10036470
c_000000000066	7.801845556095192	14.304031083050024	0
c_000000000087	15.273809523809524	0	0
c_000000000101	27.84223602484472	36.254658385093165	0.09316770186335403
c_000000000102	8.2	0.29320388349514565	0
c_000000000103	33.22313527180784	1228.7262958280658	0
c_000000000108	7.806230529595015	0	0
c_000000000116	12.783864541832669	0	0
c_000000000122	9.750712250712251	0	0
c_000000000127	3.317096466093601	4.876790830945558	0
c_000000000156	0.3104325699745547	7.567430025445293	0
c_000000000158	0	5.575197889182058	0
c_000000000165	0.2710843373493976	9.732429718875501	0
c_000000000174	12.345535714285715	0	0
c_000000000203	5.078753076292043	0	0
c_000000000241	5.495014955134597	4.290628115653041	0
c_000000000257	6.15130674002751	0	0
c_000000000263	10.45556445156125	0	0
c_000000000288	1.320294523699954	6.804878048780488	0
c_000000000299	2.863273453093812	1.8832335329341316	0
c_000000000326	7.817095588235294	0	0
c_000000000329	1.887228496959166	47.708079930495224	0
c_000000000353	2.5198776758409784	6.108562691131499	0
c_000000000359	8.904573280518544	1.7392870003601009	0
c_000000000360	5.036717540367175	8.368170758681707	0
c_000000000365	0.8091091761553918	6.553918285331547	0
c_000000000377	1.292987734320759	26.28997917148808	0
c_000000000388	7.468688845401174	0	0
c_000000000399	12.366808109382367	0.1419141914191419	0
c_000000000439	11.59356725146199	0	0
c_000000000440	9.349757673667206	0	0
c_000000000459	13.77825711820535	0	0
c_000000000466	91.17219047619048	260.38412698412696	0
c_000000000481	2.0099122061738885	4.975644293401302	0
c_000000000495	11.751759737212577	0	0
c_000000000507	10.160369437447523	0.5071368597816961	0
c_000000000513	0.5650224215246636	6.544522741832159	0
c_000000000516	1.3998005982053838	15.832502492522433	0
c_000000000522	7.947198969735995	0	0
c_000000000533	1.5861344537815125	174.97128851540617	0
c_000000000536	1.1029962546816479	20.991573033707866	0
c_000000000537	8.685227272727273	0	0
c_000000000538	4.711001642036125	187.98440065681444	0
c_000000000542	32.623716153127916	933.8190943043884	0
c_000000000553	11.665336198956094	0.09272336505987104	0
c_000000000588	4.322271169848262	61.78071463534019	0
c_000000000627	0.34808667588750575	6.597049331489165	0
c_000000000634	39.16625916870416	90.98084759576201	0
c_000000000641	10.91817398794143	0	0
c_000000000672	3.70666013712047	40.50293829578844	0
c_000000000681	1.8377281947261663	6.72210953346856	0
c_000000000686	7.744514106583072	0	0.23510971786833856
c_000000000707	12.387120651369356	0.22353811991117692	0
c_000000000717	8.38679245283019	0	0
c_000000000718	2.8958594730238394	59.72961104140527	0
c_000000000724	12.8600790513834	0	0
c_000000000741	5.282353500308921	13.361722351599258	0
c_000000000743	2.084375	23.12729591836735	0.03826530612244898
c_000000000752	8.475968992248061	0	0
c_000000000760	230.95803021824287	6258.305540011192	0
c_000000000782	8.245153220762976	0	0
